fever,headache,body_pain,fatigue,cough,cold,sore_throat,runny_nose,nausea,vomiting,diarrhea,stomach_pain,dizziness,loss_of_appetite,sensitivity_to_light,dehydration,stress,sleep_disturbance,disease
0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,Allergy
1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Allergy
0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,Allergy
0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,Allergy
0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,Allergy
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Sinusitis
0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,Sinusitis
1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Sinusitis
0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,Sinusitis
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,Sinusitis
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Sinusitis
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Sinusitis
0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,Sinusitis
1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Food Poisoning
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,Food Poisoning
0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,Food Poisoning
0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,Food Poisoning
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,Food Poisoning
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Food Poisoning
0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,Food Poisoning
0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,Food Poisoning
0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,Gastritis
0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,Gastritis
0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,Gastritis
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,Gastritis
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,Gastritis
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Gastritis
0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,Gastritis
0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,Gastritis
0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Dehydration
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,Dehydration
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Dehydration
0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,Dehydration
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,Dehydration
0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Dehydration
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Dehydration
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,Dehydration
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Migraine
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,Migraine
0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,Migraine
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Migraine
0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Migraine
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,Migraine
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Migraine
0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,Migraine
1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Mild Respiratory Infection
1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Mild Respiratory Infection
0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,Mild Respiratory Infection
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,Mild Respiratory Infection
0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,Mild Respiratory Infection
0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,Mild Respiratory Infection
0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,Mild Respiratory Infection
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Mild Respiratory Infection
